Codigo	Codigo Comunidad	Comunidad Autónoma	Provincia	Number of assets
AL	AN	Andalucía	Almería	64
CA	AN	Andalucía	Cádiz	202
CO	AN	Andalucía	Córdoba	27
GR	AN	Andalucía	Granada	40
H	AN	Andalucía	Huelva	52
J	AN	Andalucía	Jaén	25
MA	AN	Andalucía	Málaga	228
SE	AN	Andalucía	Sevilla	29
HU	AR	Aragón	Huesca	9
TE	AR	Aragón	Teruel	6
Z	AR	Aragón	Zaragoza	31
O	AS	Asturias	Asturias	29
PM	PM	Islas Baleares	Baleares	38
GC	CN	Canarias	Palmas de Gran Canaria	73
TF	CN	Canarias	Santa Cruz de Tenerife	102
S	CB	Cantabria	Cantabria	27
AV	CL	Castilla y León	Ávila	0
BU	CL	Castilla y León	Burgos	9
LE	CL	Castilla y León	León	4
P	CL	Castilla y León	Palencia	1
SA	CL	Castilla y León	Salamanca	4
SG	CL	Castilla y León	Segovia	1
SO	CL	Castilla y León	Soria	0
VA	CL	Castilla y León	Valladolid	17
ZA	CL	Castilla y León	Zamora	0
AB	CM	Castilla-La Mancha	Albacete	23
CR	CM	Castilla-La Mancha	Ciudad Real	26
CU	CM	Castilla-La Mancha	Cuenca	0
GU	CM	Castilla-La Mancha	Guadalajara	3
TO	CM	Castilla-La Mancha	Toledo	4
B	CT	Cataluña	Barcelona	47
GI	CT	Cataluña	Girona	39
L	CT	Cataluña	Lleida	6
T	CT	Cataluña	Tarragona	11
A	VC	Valenciana	Alicante	33
CS	VC	Valenciana	Castellón	13
V	VC	Valenciana	Valencia	40
BA	EX	Extremadura	Badajoz	18
CC	EX	Extremadura	Cáceres	5
C	GA	Galicia	Coruña	13
LU	GA	Galicia	Lugo	12
OR	GA	Galicia	Orense	4
PO	GA	Galicia	Pontevedra	64
LO	LO	La Rioja	Logroño	10
M	MD	Madrid	Madrid	260
MU	MU	Murcia	Murcia	63
NA	NA	Navarra	Navarra	27
VI	PV	País Vasco	Álava	7
SS	PV	País Vasco	Guipúzcoa	19
BI	PV	País Vasco	Vizcaya	5
CE	CE	Ceuta	Ceuta	147
ME	CE	Melilla	Melilla	95
