HMCTS AREA	Volume imposed 2013	Value imposed 2013	Volume imposed 2014	Value imposed 2014
HMCTS London Area 	778	128308796.79	734	99846696.31
HMCTS West Midlands Area	307	43169932.59	261	10425058.14
HMCTS West Yorkshire Area	502	8626797.8	449	15085682.29
HMCTS Kent Area	175	17303526.31	139	5945407.26
HMCTS Greater Manchester Area	338	9196578.58	329	7194350.72
HMCTS Suffolk Area	100	7588656.84	102	4954121.51
HMCTS Merseyside Area	340	6714376.56	395	3940786.75
HMCTS Avon and Somerset Area	226	3761209.41	264	6595768.35
HMCTS Northamptonshire Area	76	2372155.25	98	7705719.2
HMCTS Hampshire and Isle of Wight Area	204	4609754.75	205	4093788.88
HMCTS Thames Valley Area	189	6047762.33	130	1621398.54
HMCTS Lancashire Area	128	2644273.27	95	3881236.02
HMCTS Devon and Cornwall Area	74	4344094.33	76	2151425.91
HMCTS Essex Area	132	3836936.89	113	1719623.16
HMCTS South Yorkshire Area	145	2423802.33	170	2831063.59
HMCTS South Wales Area	184	2592336.26	169	2464717.09
HMCTS Hertfordshire Area	100	1736078.36	96	3260929.52
HMCTS Leicestershire Area	220	1396081.17	157	3591265.61
HMCTS North Yorkshire Area	70	3421261.32	78	1397190.45
HMCTS Bedfordshire Area	88	1814212.77	68	2872046.39
HMCTS Humberside Area	73	2969127.08	56	1688353.42
HMCTS Nottinghamshire Area	197	2649118.55	221	2001814.66
HMCTS Cambridgeshire Area	139	1627994.98	123	2722505.43
HMCTS Cumbria Area	86	2803837.29	54	1417965.33
HMCTS Staffordshire Area	166	2334613.02	150	1583333.79
HMCTS West Mercia Area	81	1787194.13	107	2023628.5
HMCTS Sussex Area	151	2581000.95	113	942162.43
HMCTS Northumbria Area	122	1559006.09	119	1960790.69
HMCTS Surrey Area	63	1327929.55	59	1622680.51
HMCTS Cheshire Area	122	1892676.98	131	876764.89
HMCTS Cleveland Area	107	1596384.26	95	1158545.16
HMCTS Norfolk Area	100	1339927.37	108	1286630.87
HMCTS Derbyshire Area	82	1670444.84	65	913823.61
HMCTS Dorset Area	46	1255803.13	30	855401.84
HMCTS North Wales Area	81	1163980.06	66	757905.26
HMCTS Gloucestershire Area	62	894460.61	46	714192.15
HMCTS Gwent Area	64	886159.74	54	682519.28
HMCTS Durham Area	32	645433.67	65	854095.67
HMCTS Wiltshire Area	41	252264.6	74	1147107.05
HMCTS Warwickshire Area	60	577718.11	40	625925.16
HMCTS Lincolnshire Area	91	481551.84	79	633643.86
HMCTS Dyfed Powys Area	60	196018.71	54	642078.76
